WorkerIndex,Treatment,WorkTimeInSeconds,Answer.output_buttons_b,Answer.output_feedback_b,Answer.question_order_b,Answer.retention_check,Answer.time_array_out_b,Answer.tutorial_save_b,Answer.verbal_feedback
94,D,655,"{""38"":1,""45"":0,""60"":0,""63"":0,""84"":0,""92"":1,""100"":0,""109"":0,""113"":0,""128"":0}",4,"[63,45,92,113,100,60,84,128,38,109]",radio,"{""38"":12.935,""45"":19.136,""60"":11.072,""63"":23.557,""84"":17.016,""92"":32.352,""100"":9.568,""109"":11.256,""113"":11.968,""128"":13.937,""tutorial_2DE"":36.023,""tutorial_3DE"":16.985,""tutorial_4DE"":16.944,""tutorial_5DE"":7.795}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}","This is one of those games where I think I understand it well enough to get comprehension checks correct and can proceed, but if I was asked to tell someone else the rules, I'd be lost. In other words, I only sort of understood this. Also, because I have no idea how long the survey will last and there is a relatively short timer (why only 15 minutes?), I feel pressured and probably can't think as clearly as I would with a, say, 30 minute timer."
95,D,81,"{""49"":0,""66"":0,""71"":1,""79"":0,""80"":0,""84"":0,""95"":0,""99"":0,""116"":1,""121"":1}",2,"[99,49,116,84,121,66,71,80,79,95]",i liked all of them,"{""49"":4.767,""66"":2.163,""71"":2.935,""79"":2.143,""80"":1.819,""84"":3.812,""95"":2.696,""99"":2.833,""116"":6.753,""121"":3.6,""tutorial_2DE"":6.331,""tutorial_3DE"":3.165,""tutorial_4DE"":7.859,""tutorial_5DE"":1.856}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[1,3],""5DE"":[]}",i don't have anything else to add
96,D,614,"{""35"":0,""39"":0,""43"":1,""79"":1,""84"":1,""102"":0,""108"":0,""122"":0,""127"":1,""128"":1}",3,"[84,35,128,43,122,102,39,108,127,79]","Honestly, I was so involved in the numbers, I really wasn't paying attention to the objects. Sorry. Please don't reject my work.","{""35"":39.488,""39"":43.341,""43"":19.942,""79"":12.211,""84"":38.355,""102"":26.924,""108"":39.597,""122"":41.206,""127"":32.522,""128"":21.703,""tutorial_2DE"":48.257,""tutorial_3DE"":18.251,""tutorial_4DE"":24.812,""tutorial_5DE"":9.11}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}",Those were really tough decisions. I had to think about how much weight to put on each factor.
97,D,340,"{""39"":0,""51"":1,""58"":0,""59"":1,""64"":1,""66"":0,""70"":1,""106"":0,""126"":1,""130"":0}",3,"[64,130,70,126,39,59,51,106,66,58]",shiny jewel,"{""39"":5.5,""51"":6.192,""58"":10.156,""59"":5.972,""64"":34.011,""66"":6.576,""70"":35.884,""106"":8,""126"":13.58,""130"":11.076,""tutorial_2DE"":21.528,""tutorial_3DE"":33.33,""tutorial_4DE"":16.191,""tutorial_5DE"":7.064}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}",none
98,D,200,"{""42"":0,""50"":1,""53"":0,""57"":1,""65"":0,""67"":0,""77"":0,""80"":0,""93"":0,""136"":1}",3,"[67,53,57,50,93,42,65,136,80,77]",the giant diamond,"{""42"":8.273,""50"":13.871,""53"":11.18,""57"":11.27,""65"":5.752,""67"":12.881,""77"":9.378,""80"":10.093,""93"":6.328,""136"":13.861,""tutorial_2DE"":19.853,""tutorial_3DE"":12.95,""tutorial_4DE"":9.638,""tutorial_5DE"":2.852}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}",Everything was fine
99,D,350,"{""53"":0,""57"":0,""70"":0,""71"":1,""73"":0,""80"":0,""81"":0,""98"":0,""100"":0,""121"":0}",1,"[98,53,80,121,71,81,100,73,57,70]",I prefer the left most treasure,"{""53"":11.768,""57"":10.888,""70"":7.8,""71"":7.592,""73"":15.503,""80"":23.688,""81"":5.944,""98"":19.377,""100"":5.28,""121"":15.025,""tutorial_2DE"":42.359,""tutorial_3DE"":48.248,""tutorial_4DE"":21.592,""tutorial_5DE"":3.086}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[3,1],""4DE"":[3],""5DE"":[]}",It is an interesting task.
100,D,534,"{""35"":0,""37"":1,""53"":0,""73"":0,""77"":0,""78"":1,""88"":1,""94"":1,""100"":0,""134"":0}",2,"[134,88,77,100,94,73,78,35,53,37]",Favorite treasure item was Radio,"{""35"":18.024,""37"":16.456,""53"":11.32,""73"":6.611,""77"":33,""78"":13.76,""88"":20.943,""94"":11.165,""100"":13.375,""134"":38.58,""tutorial_2DE"":83.039,""tutorial_3DE"":33.472,""tutorial_4DE"":87.791,""tutorial_5DE"":11.827}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[1,2,3],""5DE"":[]}",good
101,D,583,"{""43"":0,""46"":1,""50"":0,""51"":0,""53"":0,""70"":0,""91"":0,""93"":0,""101"":0,""129"":0}",2,"[70,50,91,93,101,43,129,53,46,51]",Money,"{""43"":4.747,""46"":29.108,""50"":20.679,""51"":10.499,""53"":3.647,""70"":15.849,""91"":4.722,""93"":6.173,""101"":14.213,""129"":7.941,""tutorial_2DE"":16.402,""tutorial_3DE"":17.369,""tutorial_4DE"":6.642,""tutorial_5DE"":1.602}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}","I wasn't aware I was supposed to be focusing on specific items, so I don't really remember the specific items in the chest . I was paying attention to what the treasure was worth to me."
102,D,198,"{""56"":0,""59"":0,""63"":0,""67"":0,""79"":1,""85"":0,""86"":0,""115"":1,""123"":0,""134"":0}",2,"[63,59,85,86,123,115,67,134,56,79]",I think there was a gem that I thought was nice. I was mostly looking at the numbers.,"{""56"":10.668,""59"":7.26,""63"":10.241,""67"":5.248,""79"":4.399,""85"":7.544,""86"":6.972,""115"":9.441,""123"":4.651,""134"":9.36,""tutorial_2DE"":19.823,""tutorial_3DE"":10.592,""tutorial_4DE"":12.333,""tutorial_5DE"":3.995}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}","None, thank you."
103,D,606,"{""36"":0,""57"":1,""70"":0,""86"":0,""100"":0,""101"":1,""105"":0,""109"":0,""115"":1,""137"":0}",3,"[105,101,86,115,36,70,109,100,137,57]",I liked the silver bars and thought the radio was amusing,"{""36"":14.993,""57"":9.454,""70"":13.999,""86"":7.424,""100"":17.968,""101"":29.952,""105"":15.791,""109"":13.632,""115"":10.976,""137"":8.714,""tutorial_2DE"":40.168,""tutorial_3DE"":17.024,""tutorial_4DE"":11.576,""tutorial_5DE"":7.225}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}",None
104,D,173,"{""50"":0,""51"":1,""73"":1,""74"":1,""78"":0,""84"":1,""88"":1,""94"":0,""105"":0,""128"":0}",2,"[128,94,50,78,84,73,88,74,51,105]",The basketball,"{""50"":11.711,""51"":4.398,""73"":8.046,""74"":5.151,""78"":10.241,""84"":4.103,""88"":7.769,""94"":9.201,""105"":3.812,""128"":14.244,""tutorial_2DE"":36.052,""tutorial_3DE"":14.557,""tutorial_4DE"":9.199,""tutorial_5DE"":1.364}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}",N/A
105,D,221,"{""35"":0,""36"":1,""53"":0,""58"":0,""95"":0,""100"":1,""112"":0,""115"":1,""120"":1,""136"":0}",3,"[58,115,35,120,95,136,100,53,36,112]",diamond,"{""35"":6.032,""36"":3.899,""53"":4.782,""58"":20.872,""95"":6.88,""100"":7.431,""112"":5.501,""115"":8.415,""120"":10.43,""136"":8.88,""tutorial_2DE"":18.567,""tutorial_3DE"":31.576,""tutorial_4DE"":12.447,""tutorial_5DE"":8.085}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}",none
106,D,521,"{""37"":0,""38"":1,""70"":0,""88"":0,""92"":0,""105"":0,""109"":0,""127"":0,""128"":0,""136"":0}",2,"[88,127,37,38,105,136,128,109,70,92]",stones,"{""37"":17.324,""38"":16.744,""70"":13.456,""88"":28.712,""92"":12.453,""105"":13.952,""109"":10.768,""127"":24.358,""128"":14.934,""136"":14.866,""tutorial_2DE"":70.505,""tutorial_3DE"":52.648,""tutorial_4DE"":43.97,""tutorial_5DE"":12.972}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}",none
107,D,381,"{""37"":1,""42"":0,""44"":0,""84"":0,""85"":1,""101"":1,""109"":0,""113"":1,""116"":0,""136"":0}",2,"[37,113,84,44,116,42,85,109,101,136]",I would have to say I liked the barrel of rum best.,"{""37"":34.037,""42"":13.072,""44"":16.191,""84"":9.959,""85"":32.551,""101"":11.687,""109"":4.945,""113"":24.464,""116"":10.96,""136"":11.912,""tutorial_2DE"":58.512,""tutorial_3DE"":8.904,""tutorial_4DE"":10.736,""tutorial_5DE"":4.338}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}",Thanks for fair pay for a task that was actually interesting.
108,D,471,"{""63"":0,""67"":0,""81"":0,""93"":0,""94"":0,""101"":0,""106"":0,""127"":0,""133"":0,""135"":0}",1,"[127,93,81,133,101,106,135,67,63,94]",Money.,"{""63"":345.746,""67"":1.614,""81"":2.45,""93"":3.977,""94"":1.296,""101"":2.131,""106"":1.645,""127"":3.867,""133"":2.466,""135"":1.475,""tutorial_2DE"":15.958,""tutorial_3DE"":25.953,""tutorial_4DE"":5.584,""tutorial_5DE"":1.749}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[3,2,1],""4DE"":[3],""5DE"":[]}",Thanks.
109,D,687,"{""65"":0,""73"":1,""88"":0,""91"":1,""95"":0,""105"":0,""106"":0,""108"":0,""120"":1,""128"":0}",4,"[106,95,91,120,73,128,105,65,88,108]",Gold,"{""65"":35.568,""73"":23.288,""88"":36.984,""91"":17.408,""95"":13.895,""105"":38.896,""106"":54.038,""108"":34.088,""120"":11.192,""128"":113.128,""tutorial_2DE"":55.552,""tutorial_3DE"":30.881,""tutorial_4DE"":38.151,""tutorial_5DE"":5.914}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[1,3],""5DE"":[]}",Some questions need more thinking
110,D,295,"{""51"":0,""53"":0,""63"":0,""74"":0,""78"":1,""99"":0,""112"":0,""129"":0,""135"":0,""136"":0}",2,"[53,78,74,112,99,136,129,51,63,135]",Diamond,"{""51"":8.736,""53"":17.993,""63"":5.023,""74"":9.84,""78"":19.608,""99"":10.591,""112"":6.952,""129"":7.256,""135"":15.848,""136"":6.929,""tutorial_2DE"":27.598,""tutorial_3DE"":24.769,""tutorial_4DE"":67.583,""tutorial_5DE"":2.911}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[1,2,3],""5DE"":[]}",Fun
111,D,479,"{""35"":0,""38"":0,""49"":0,""53"":1,""58"":1,""59"":0,""64"":1,""67"":1,""121"":1,""134"":0}",4,"[64,134,49,121,35,53,38,59,58,67]",The Diamond,"{""35"":5.366,""38"":3.983,""49"":11.75,""53"":5.051,""58"":2.981,""59"":3.784,""64"":47.728,""67"":4.868,""121"":6.066,""134"":6.552,""tutorial_2DE"":21.336,""tutorial_3DE"":42.831,""tutorial_4DE"":15.116,""tutorial_5DE"":4.187}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[3,1],""4DE"":[3],""5DE"":[]}",n/a
112,D,382,"{""52"":1,""57"":1,""58"":1,""64"":0,""77"":0,""94"":0,""102"":0,""107"":1,""109"":1,""119"":1}",3,"[58,109,77,119,52,107,57,94,64,102]",Diamond,"{""52"":2.388,""57"":4.604,""58"":28.746,""64"":4.574,""77"":11.303,""94"":3.118,""102"":3.104,""107"":2.887,""109"":9.378,""119"":12.782,""tutorial_2DE"":57.738,""tutorial_3DE"":43.012,""tutorial_4DE"":12.907,""tutorial_5DE"":3.474}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[2,3,1],""4DE"":[3],""5DE"":[]}",N/A
113,D,542,"{""36"":0,""59"":0,""63"":0,""71"":0,""80"":0,""95"":0,""98"":0,""102"":0,""121"":0,""135"":0}",2,"[71,63,102,36,121,80,95,59,98,135]",MONEY,"{""36"":8.489,""59"":8.272,""63"":17.224,""71"":64.135,""80"":9.368,""95"":6.264,""98"":7.48,""102"":21.735,""121"":9.76,""135"":5.832,""tutorial_2DE"":57.976,""tutorial_3DE"":73.351,""tutorial_4DE"":119.056,""tutorial_5DE"":2.601}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[2,2,1,3],""5DE"":[]}",NONE
114,D,552,"{""43"":0,""63"":0,""72"":0,""84"":0,""94"":0,""100"":0,""102"":0,""122"":0,""130"":0,""134"":0}",2,"[100,63,122,130,94,84,43,102,134,72]",blue diamond,"{""43"":6.792,""63"":16.551,""72"":6.375,""84"":5.856,""94"":8.223,""100"":17.35,""102"":4.319,""122"":9.608,""130"":8.361,""134"":5.888,""tutorial_2DE"":45.488,""tutorial_3DE"":50.791,""tutorial_4DE"":37.401,""tutorial_5DE"":4.986}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}",it seemed like the value of the treasure balanced out for all pirates
115,D,263,"{""37"":1,""39"":0,""43"":1,""53"":0,""70"":1,""84"":0,""94"":1,""115"":0,""120"":1,""121"":0}",3,"[115,43,39,53,120,70,94,121,84,37]",Diamond,"{""37"":2.984,""39"":6.024,""43"":16.775,""53"":10.336,""70"":8.776,""84"":3.816,""94"":5.657,""115"":15.238,""120"":12.24,""121"":8.311,""tutorial_2DE"":30.399,""tutorial_3DE"":32.32,""tutorial_4DE"":19.36,""tutorial_5DE"":2.226}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[3,1],""4DE"":[3],""5DE"":[]}",I'm wondering if this is an economic experiment.
116,D,194,"{""36"":1,""38"":1,""49"":1,""67"":0,""86"":1,""98"":0,""99"":1,""102"":0,""115"":1,""135"":1}",1,"[102,49,36,67,86,99,135,115,98,38]",I wasn't paying any attention to the items; I was paying attention to the values.,"{""36"":5.438,""38"":5.486,""49"":8.88,""67"":3.75,""86"":8.803,""98"":4.375,""99"":4.996,""102"":14.554,""115"":4.625,""135"":5.682,""tutorial_2DE"":17.264,""tutorial_3DE"":20.849,""tutorial_4DE"":16.164,""tutorial_5DE"":4.142}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}",No issues.
117,D,133,"{""49"":1,""52"":1,""59"":1,""79"":1,""85"":0,""88"":1,""91"":1,""93"":1,""106"":1,""116"":1}",2,"[49,59,85,93,106,52,88,79,116,91]",I liked them all the same,"{""49"":5.268,""52"":3.2,""59"":4.92,""79"":2.045,""85"":6.28,""88"":2.73,""91"":3.835,""93"":6.75,""106"":2.545,""116"":2.43,""tutorial_2DE"":11.37,""tutorial_3DE"":23.29,""tutorial_4DE"":11.555,""tutorial_5DE"":1.756}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[2,3,1],""4DE"":[1,3],""5DE"":[]}",none
118,D,165,"{""44"":0,""49"":0,""65"":0,""67"":0,""74"":0,""80"":0,""85"":0,""94"":0,""106"":0,""126"":0}",1,"[106,80,44,94,74,85,49,126,65,67]",DIAMOND,"{""44"":5.736,""49"":2.168,""65"":3.192,""67"":2.583,""74"":2.032,""80"":6.192,""85"":2.232,""94"":3.312,""106"":15.421,""126"":3.52,""tutorial_2DE"":12.312,""tutorial_3DE"":22.55,""tutorial_4DE"":32.041,""tutorial_5DE"":4.634}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[1,2,3],""5DE"":[]}",DRESS
119,D,707,"{""45"":0,""49"":1,""50"":0,""56"":0,""87"":0,""99"":1,""102"":0,""107"":1,""123"":0,""135"":1}",4,"[50,123,135,107,45,49,99,87,102,56]",Diamond,"{""45"":17.08,""49"":22.752,""50"":43.796,""56"":28.368,""87"":27.207,""99"":12.728,""102"":14.928,""107"":12.536,""123"":11.84,""135"":23.415,""tutorial_2DE"":106.87,""tutorial_3DE"":23.632,""tutorial_4DE"":62.727,""tutorial_5DE"":100.29}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[2,1,3],""5DE"":[]}",More attention is required to complete the questions
120,D,544,"{""36"":0,""37"":1,""49"":0,""85"":1,""93"":0,""95"":1,""101"":0,""108"":0,""123"":0,""126"":0}",3,"[85,95,93,49,126,101,37,108,36,123]",radio,"{""36"":49.195,""37"":14.954,""49"":46.941,""85"":37.833,""93"":13.378,""95"":42.904,""101"":36.588,""108"":19.987,""123"":19.93,""126"":38.814,""tutorial_2DE"":60.73,""tutorial_3DE"":24.036,""tutorial_4DE"":35.451,""tutorial_5DE"":5.421}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}",none
121,E,608,"{""42"":3,""45"":3,""49"":2,""58"":3,""78"":3,""85"":3,""88"":1,""93"":2,""102"":3,""115"":2}",1,"[42,49,78,88,85,45,115,102,58,93]",Diamond treasure,"{""42"":19.935,""45"":1.904,""49"":7.616,""58"":1.984,""78"":2.552,""85"":2.944,""88"":1.632,""93"":2.904,""102"":6.104,""115"":1.656,""tutorial_2DE"":59.76,""tutorial_3DE"":19.032,""tutorial_4DE"":54.199,""tutorial_5DE"":26.49}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[3,1,1,3,2],""3DE"":[2,1],""4DE"":[2,1,3],""5DE"":[]}",Good
122,E,702,"{""44"":2,""45"":2,""50"":2,""109"":1,""114"":3,""122"":1,""126"":3,""127"":1,""133"":1,""137"":3}",1,"[45,114,109,44,133,122,50,127,137,126]",Diamond,"{""44"":4.264,""45"":6.551,""50"":3.04,""109"":4.072,""114"":11.312,""122"":9.096,""126"":3.96,""127"":3.048,""133"":5.112,""137"":2.195,""tutorial_2DE"":47.2,""tutorial_3DE"":28.544,""tutorial_4DE"":6.111,""tutorial_5DE"":2.794}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}",Nothing
123,E,270,"{""37"":2,""43"":0,""51"":2,""66"":3,""67"":0,""84"":1,""99"":1,""109"":1,""122"":1,""126"":0}",2,"[43,126,67,122,37,66,99,51,109,84]",1,"{""37"":3.458,""43"":21.453,""51"":1.816,""66"":2.455,""67"":6.544,""84"":3.912,""99"":3.008,""109"":2.648,""122"":4.472,""126"":6.184,""tutorial_2DE"":85.952,""tutorial_3DE"":48.713,""tutorial_4DE"":16.447,""tutorial_5DE"":1.363}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[2,2,1],""4DE"":[1,3],""5DE"":[]}",good
124,E,522,"{""35"":1,""36"":1,""38"":2,""45"":1,""50"":1,""53"":1,""65"":2,""86"":1,""95"":2,""119"":2}",2,"[50,36,35,86,38,65,95,119,45,53]",pirates 1,"{""35"":48.236,""36"":14.787,""38"":10.095,""45"":11.989,""50"":75.811,""53"":5.088,""65"":5.243,""86"":15.034,""95"":13.44,""119"":4.687,""tutorial_2DE"":51.718,""tutorial_3DE"":30.668,""tutorial_4DE"":45.192,""tutorial_5DE"":3.942}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[1,3],""5DE"":[]}",easy
125,E,537,"{""67"":3,""71"":0,""87"":0,""91"":2,""99"":3,""107"":0,""116"":1,""119"":2,""121"":1,""122"":2}",2,"[116,71,67,87,119,121,107,91,99,122]",question no 2,"{""67"":10.905,""71"":25.8,""87"":11.86,""91"":12.96,""99"":7.35,""107"":4.425,""116"":53.8,""119"":8.82,""121"":7.535,""122"":8.545,""tutorial_2DE"":50.12,""tutorial_3DE"":65.168,""tutorial_4DE"":109.595,""tutorial_5DE"":11.47}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[2,3],""5DE"":[]}",none
126,E,497,"{""39"":0,""59"":3,""74"":0,""84"":0,""85"":1,""94"":2,""106"":3,""114"":0,""126"":3,""135"":1}",1,"[74,106,85,39,126,114,59,135,84,94]","My favorite treasure was the map, but it seemed like it was hard to get someone to swap with me for it.","{""39"":23.176,""59"":15.894,""74"":26.92,""84"":17.68,""85"":26.615,""94"":11.813,""106"":49.987,""114"":13.663,""126"":19.841,""135"":11.455,""tutorial_2DE"":19.876,""tutorial_3DE"":41.566,""tutorial_4DE"":23.312,""tutorial_5DE"":6.988}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}",I didn't have any problems. I liked the study it was fun to complete. Thanks!
127,E,368,"{""39"":0,""57"":3,""60"":0,""77"":2,""86"":2,""92"":2,""108"":3,""119"":0,""135"":1,""136"":1}",2,"[92,57,136,108,119,86,60,135,39,77]",Jewelry. I went with the highest value treasures every time.,"{""39"":5.286,""57"":30.136,""60"":6.21,""77"":9.18,""86"":10.176,""92"":25.173,""108"":14.828,""119"":6.65,""135"":8.237,""136"":11.166,""tutorial_2DE"":66.929,""tutorial_3DE"":36.279,""tutorial_4DE"":12.623,""tutorial_5DE"":3.348}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[3,1],""4DE"":[3],""5DE"":[]}",Fun treasure swapping game task. I would love to do more.
128,E,530,"{""53"":2,""56"":1,""80"":1,""85"":0,""88"":2,""91"":1,""94"":2,""99"":0,""121"":0,""135"":1}",2,"[135,91,88,56,85,94,80,53,121,99]",The $57 treasure is my favorite.,"{""53"":13.857,""56"":18.049,""80"":15.712,""85"":6.904,""88"":24.695,""91"":23.847,""94"":22.439,""99"":7.288,""121"":15.967,""135"":34.844,""tutorial_2DE"":44.12,""tutorial_3DE"":31.307,""tutorial_4DE"":19.663,""tutorial_5DE"":11.036}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}",Interesting task. Thank you.
129,E,375,"{""60"":0,""72"":2,""79"":3,""84"":3,""99"":2,""106"":3,""116"":0,""122"":3,""126"":2,""136"":1}",4,"[126,72,60,122,79,136,116,84,106,99]",rum,"{""60"":30.299,""72"":34.546,""79"":9.133,""84"":9.717,""99"":4.917,""106"":8.666,""116"":8.533,""122"":9.45,""126"":16.784,""136"":8.283,""tutorial_2DE"":35.645,""tutorial_3DE"":23.417,""tutorial_4DE"":88.697,""tutorial_5DE"":3.002}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[2,1,3],""5DE"":[]}",confusing
130,E,535,"{""46"":0,""49"":3,""56"":0,""73"":3,""99"":2,""107"":3,""108"":0,""114"":1,""127"":1,""130"":0}",2,"[107,130,108,127,99,73,56,114,49,46]",the rum,"{""46"":11.959,""49"":10.192,""56"":60.641,""73"":13.773,""99"":14.683,""107"":40.327,""108"":17.065,""114"":9.903,""127"":15.458,""130"":12.226,""tutorial_2DE"":57.664,""tutorial_3DE"":18.708,""tutorial_4DE"":12.55,""tutorial_5DE"":3.824}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}",no comments
131,E,661,"{""52"":2,""70"":1,""73"":3,""86"":2,""93"":2,""95"":0,""106"":3,""116"":0,""126"":2,""127"":1}",1,"[95,116,93,106,70,52,73,126,127,86]",Rum,"{""52"":2.206,""70"":5.172,""73"":2.836,""86"":4.147,""93"":3.37,""95"":8.693,""106"":4.036,""116"":4.574,""126"":3.224,""127"":2.836,""tutorial_2DE"":24.16,""tutorial_3DE"":10.802,""tutorial_4DE"":5.976,""tutorial_5DE"":1.643}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}",This task was pretty fun!
132,E,93,"{""36"":1,""53"":2,""58"":3,""73"":2,""78"":0,""91"":2,""93"":3,""95"":1,""119"":1,""122"":0}",2,"[122,95,73,58,36,53,91,93,78,119]",Pirate 1's Treasure,"{""36"":2.697,""53"":2.024,""58"":2.063,""73"":1.872,""78"":7.104,""91"":8.415,""93"":2.04,""95"":2.769,""119"":2.089,""122"":5.486,""tutorial_2DE"":11.36,""tutorial_3DE"":4.729,""tutorial_4DE"":5.543,""tutorial_5DE"":1.306}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[1,2],""3DE"":[1],""4DE"":[3],""5DE"":[]}",no
133,E,629,"{""37"":2,""50"":1,""56"":0,""73"":3,""95"":0,""102"":0,""114"":1,""115"":1,""133"":0,""134"":1}",3,"[56,37,73,133,50,114,102,95,134,115]",The diamond,"{""37"":18.5,""50"":28.703,""56"":91.664,""73"":20.906,""95"":24.932,""102"":24.751,""114"":29.385,""115"":23.177,""133"":26.36,""134"":23.659,""tutorial_2DE"":54.507,""tutorial_3DE"":32.882,""tutorial_4DE"":28.061,""tutorial_5DE"":16.511}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}",There were no problems with the survey
134,E,365,"{""35"":2,""44"":3,""45"":0,""46"":0,""50"":1,""102"":0,""105"":0,""114"":2,""115"":0,""127"":0}",4,"[44,35,114,105,102,115,127,50,45,46]","I didn't notice the contents as much as I noticed the value. I tried to looked to trade with pirates who offered me a fair price, but also ask for a fair price for their items, or had a discount.","{""35"":27.741,""44"":37.441,""45"":17.997,""46"":8.778,""50"":14.366,""102"":8.414,""105"":8.465,""114"":38.776,""115"":16.764,""127"":7.68,""tutorial_2DE"":32.244,""tutorial_3DE"":16,""tutorial_4DE"":12.267,""tutorial_5DE"":3.8}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}",I don't have any comments.
135,E,302,"{""44"":1,""46"":0,""56"":0,""73"":3,""79"":3,""85"":1,""88"":0,""108"":0,""113"":1,""119"":0}",3,"[119,108,88,85,73,46,113,56,44,79]",None of them was better than the other.,"{""44"":4.703,""46"":6.873,""56"":4.355,""73"":5.023,""79"":3.702,""85"":10.554,""88"":19.347,""108"":17.104,""113"":8.443,""119"":12.945,""tutorial_2DE"":73.931,""tutorial_3DE"":17.499,""tutorial_4DE"":47.341,""tutorial_5DE"":5.044}","{""2A"":[],""2BC"":[],""3A"":[],""3BC"":[],""2DE"":[2],""3DE"":[1],""4DE"":[3],""5DE"":[]}",None
